playerName,match_name,score
E. Haaland,Erling Haaland,84
K. Mbappé,Kylian Mbappé,86
Vinícius Júnior,Vini Jr.,74
A. Griezmann,Antoine Griezmann,86
K. De Bruyne,Kevin De Bruyne,86
R. Lewandowski,Robert Lewandowski,87
H. Kane,Harry Kane,76
B. Saka,Bukayo Saka,86
V. Osimhen,Victor Osimhen,84
K. Kvaratskhelia,Khvicha Kvaratskhelia,88
Rodrygo,Rodrygo,100
M. Ødegaard,Martin Ødegaard,84
L. Sané,Leroy Sané,86
L. Martínez,Lautaro Martínez,86
R. Kolo Muani,Randal Kolo Muani,86
T. Müller,Thomas Müller,86
S. Gnabry,Serge Gnabry,82
Gonçalo Ramos,Gonçalo Ramos,100
G. Jesus,Gabriel Jesus,86
G. Martinelli,Gabriel Martinelli,86
L. De Jong,Kevin De Bruyne,86
J. Musiala,Jamal Musiala,84
Raphinha,Raphinha,100
Bernardo Silva,Bernardo Silva,100
João Félix,João Félix,100
P. Foden,Phil Foden,79
İ. Gündoğan,İlkay Gündoğan,84
M. Taremi,Mehdi Taremi,82
Á. Morata,Morata,100
K. Coman,Kingsley Coman,86
K. Adeyemi,Karim Adeyemi,84
O. Dembélé,Ousmane Dembélé,86
J. Bellingham,Jude Bellingham,86
J. Grealish,Jack Grealish,85
M. Asensio,Marco Asensio,84
L. Openda,Loïs Openda,85
S. Haller,Sébastien Haller,86
C. Immobile,Ciro Immobile,85
T. Werner,Timo Werner,82
L. Trossard,Leandro Trossard,85
Johan Bakayoko,Johan Bakayoko,100
P. Zieliński,Piotr Zieliński,86
M. Reus,Marco Reus,76
Ferran Torres,Ferran Torres,100
J. Brandt,Julian Brandt,82
N. Füllkrug,Niclas Füllkrug,84
E. Forsberg,Emil Forsberg,85
F. Valverde,Federico Valverde,86
André Silva,André Silva,100
Alexis Sánchez,Jorge Sánchez,64
B. Šeško,Benjamin Šeško,86
L. Yamal,Donyell Malen,61
G. Raspadori,Giacomo Raspadori,86
D. Malen,Donyell Malen,86
M. Depay,Memphis Depay,86
Joselu,Joselu,100
I. Saibari,Ismael Saibari,84
Á. Correa,Ángel Correa,90
Evanilson,Evanilson,100
J. Álvarez,Julián Álvarez,82
M. Politano,Matteo Politano,85
G. Simeone,Giovanni Simeone,86
E. Choupo-Moting,Eric Maxim Choupo-Moting,86
M. Merino,Mikel Merino,82
H. Çalhanoğlu,Hakan Çalhanoğlu,86
D. Gonçalves,Diogo Gonçalves,85
K. Havertz,Kai Havertz,86
H. Mkhitaryan,Henrikh Mkhitaryan,86
J. Veerman,Joey Veerman,84
N. Barella,Nicolò Barella,84
N. Lang,Noa Lang,82
D. Olmo,Sabrina D'Angelo,86
B. Méndez,Brais Méndez,79
X. Simons,Xavi Simons,82
J. Doku,Jérémy Doku,76
M. Zaccagni,Mattia Zaccagni,85
Pedri,Pedri,100
L. Modrić,Luka Modrić,82
Galeno,Galeno,100
M. Elyounoussi,Mohamed Elyounoussi,87
D. Kamada,Sabrina D'Angelo,86
T. Castellanos,Deyna Castellanos,87
F. De Jong,Kevin De Bruyne,86
G. Reyna,Giovanni Reyna,86
M. Oyarzabal,Oyarzabal,95
Rodri,Rodri,100
R. De Paul,Kevin De Bruyne,86
J. Kimmich,Joshua Kimmich,84
Felipe Anderson,Felipe Anderson,100
Pepê,Pepê,100
M. Thuram,Marcus Thuram,82
L. Goretzka,Leon Goretzka,85
Brahim Díaz,Brahim,90
Romário Baró,Romário Baró,100
C. Soler,Carlos Soler,86
T. Lemar,Thomas Lemar,86
Pedro Rodríguez,Pedro,90
T. Kroos,Toni Kroos,79
K. Lee,Lee Kang In,86
M. Arnautovic,Marko Arnautović,76
Y. Poulsen,Yussuf Poulsen,84
G. Isaksen,Gustav Isaksen,84
H. Lozano,Hirving Lozano,86
E. Smith Rowe,Emile Smith Rowe,86
Y. Vertessen,Yorbe Vertessen,86
Gavi,Gavi,100
J. Larsson,Jordan Larsson,84
João Cancelo,João Cancelo,100
S. Lino,Samuel Lino,86
A. Hakimi,Achraf Hakimi,82
S. Eustaquio,Stephen Eustáquio,71
A. Zambo Anguissa,André-Franck Zambo Anguissa,86
E. Nketiah,Eddie Nketiah,84
B. Barcola,Bradley Barcola,86
O. Óskarsson,Orri Óskarsson,85
E. Elmas,Eljif Elmas,79
D. Klaassen,Davy Klaassen,85
Fábio Vieira,Fábio Vieira,100
Y. Moukoko,Youssoufa Moukoko,86
N. Molina,Nahuel Molina,82
Gabriel,Gabriel,100
C. Augusto,Carlos Augusto,84
J. Oblak,Jan Oblak,84
A. Davies,Alphonso Davies,86
Vitinha,Vitinha,100
G. Donnarumma,Gianluigi Donnarumma,86
Luis Alberto,Luis Alberto,100
D. Rice,Declan Rice,86
Matheus Nunes,Matheus Nunes,100
Koke,Koke,100
V. Claesson,Viktor Claesson,85
E. Achouri,Elias Achouri,84
M. Tillman,Malik Tillman,84
E. Camavinga,Eduardo Camavinga,86
Ederson,Ederson,100
M. Llorente,Marcos Llorente,85
M. Kovačić,Mateo Kovačić,84
Vasco Sousa,Saúl,72
T. Courtois,Thibaut Courtois,85
T. Partey,Thomas Partey,82
A. Balde,Balde,90
M. Neuer,Manuel Neuer,86
G. Til,Guus Til,73
Fabián Ruiz,Fabián Ruiz,100
Toni Martínez,Toni Martínez,100
L. Lerager,Lukas Lerager,84
X. Schlager,Xaver Schlager,85
R. Bardghji,Roony Bardghji,85
Emre Can,Emre Can,100
C. Baumgartner,Christoph Baumgartner,86
J. Kiwior,Jakub Kiwior,82
F. Carvalho,Fábio Carvalho,85
U. Sadiq,Umar Sadiq,79
Fran Navarro,Fran Navarro,100
N. Schlotterbeck,Nico Schlotterbeck,88
R. Nelson,Reiss Nelson,82
R. Pepi,Pepê,90
D. Ceballos,Dani Ceballos,85
B. Turrientes,Turrientes,95
J. Lindstrøm,Jesper Lindstrøm,85
R. Bensebaini,Ramy Bensebaini,86
D. Frattesi,Davide Frattesi,85
G. Di Lorenzo,Giovanni Di Lorenzo,86
M. Škriniar,Milan Škriniar,85
W. Saliba,Saúl,90
Marquinhos,Marquinhos,100
A. Witsel,Axel Witsel,82
A. Rüdiger,Antonio Rüdiger,86
Rúben Dias,Rúben Dias,100
A. Bastoni,Alessandro Bastoni,86
S. Lobotka,Stanislav Lobotka,86
M. Tel,Mathys Tel,86
M. Sabitzer,Marcel Sabitzer,85
Saúl Ñíguez,Saúl,90
M. Ter Stegen,Marc-André ter Stegen,86
M. Vecino,Matías Vecino,82
Diogo Costa,Diogo Costa,100
J. Gvardiol,Joško Gvardiol,85
Ronald Araújo,Ronald Araujo,96
B. White,Benjamin White,86
K. Laimer,Konrad Laimer,82
J. Schouten,Jerdy Schouten,85
M. Ugarte,Manuel Ugarte,82
D. Alaba,Sabrina D'Angelo,86
Salih Özcan,Salih Özcan,100
B. Pavard,Benjamin Pavard,86
Pablo Barrios,Pablo Barrios,100
K. Walker,Kyle Walker,82
N. Mazraoui,Noussair Mazraoui,86
M. De Ligt,Kevin De Bruyne,86
A. Cornelius,Andreas Cornelius,86
A. Zerbin,Alessio Zerbin,86
Arda Güler,Arda Güler,100
Éder Militão,Éder Militão,100
Nuno Mendes,Nuno Mendes,100
M. Hermoso,Mario Hermoso,84
M. Guendouzi,Mattéo Guendouzi,86
D. Dumfries,Denzel Dumfries,85
A. Tchouameni,Aurélien Tchouaméni,73
W. Zaïre-Emery,Warren Zaïre-Emery,86
K. Kampl,Kevin Kampl,79
F. Dimarco,Federico Dimarco,86
Jorginho,Jorginho,100
J. Bynoe-Gittens,Jamie Bynoe-Gittens,88
F. Mendy,Ferland Mendy,86
A. Zakharyan,Henrikh Mkhitaryan,62
M. Alonso,Marcos Alonso,82
D. Carvajal,Carvajal,95
O. Zinchenko,Oleksandr Zinchenko,86
J. Stones,John Stones,82
Danilo,Danilo Pereira,90
M. Grujić,Marko Grujić,82
Sergi Roberto,Sergi Roberto,100
R. Falk,Rasmus Falk,86
M. Hummels,Mats Hummels,84
M. Zubimendi,Zubimendi,95
F. Nmecha,Felix Nmecha,82
J. Cajuste,Jens-Lys Cajuste,86
Carlos Fernández,Carlos Fernández,100
G. Kobel,Gregor Kobel,86
D. Upamecano,Dayot Upamecano,86
L. Hernández,Lucas Hernández,85
I. Provedel,Ivan Provedel,85
K. Diks,Kevin Diks,76
M. Kim,Kim Little,86
Nacho,Nacho Fernández,90
J. Teze,Jordan Teze,86
D. Raya,Sabrina D'Angelo,86
A. Rrahmani,Amir Rrahmani,85
A. Ramalho,André Ramalho,84
J. Koundé,Jules Koundé,79
M. Simakan,Mohamed Simakan,86
J. Giménez,José María Giménez,86
T. Kubo,Takefusa Kubo,86
Mário Rui,Mário Rui,100
S. De Vrij,Kevin De Bruyne,86
André Franco,André Franco,100
K. Tierney,Kieran Tierney,84
R. Guerreiro,Raphaël Guerreiro,86
Mauro Júnior,Mauro Júnior,100
P. Gulácsi,Péter Gulácsi,82
A. Ramsdale,Aaron Ramsdale,85
I. Babadi,Balde,54
G. Gaetano,Gianluca Gaetano,86
C. Sagoe Jr,Vini Jr.,86
E. Højlund,Oscar Højlund,82
J. Uneken,Kepa,51
Reinildo,Reinildo,100
M. Nassoh,Marco Asensio,55
P. Kimpembe,Presnel Kimpembe,85
K. Babacar,Khouma Babacar,84
Á. Rodríguez,Cinta Rodríguez,90
J. Simons,Xavi Simons,82
A. Raihani,Amir Rrahmani,70
