playerName_x,playerPrice,playerPos,playerClub,playerImg_x,TotalPoints,Goals,Assists,BallsRecov,match_name,score,playerName_y,Team,OverallRating,playerImgy,TeamImg,FlagImg,Nation,Pace,Shooting,Passing,Dribbling,Defending,Physicality
E. Haaland,11.7,FWD,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250103758.jpg?v=4.07,37,5,1,0,Erling Haaland,84,Erling Haaland,Manchester City,91,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p239085.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/hn2H64k3KVpJ3Wqpyleus/2d33f6e09f42515c20dd2a70600a3c26/10.png,https://images.ctfassets.net/rs6bgs1g8dbr/2oqGDALzThEx7wBBMbyIqE/759a715ed2bf7146304a0736ede94430/f_36.png,Norway,89,932,661,80,454,881
K. Mbappé,11.5,FWD,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250076574.jpg?v=4.07,24,3,0,4,Kylian Mbappé,86,Kylian Mbappé,Paris SG,91,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p231747.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/65jMMhRXpQl9A65F6kQtBe/c7b08b18574c48533c1526783bd9b601/73.png,https://images.ctfassets.net/rs6bgs1g8dbr/5Il39kdF0vuuJ1Gc18R7Ww/b982b6f565d2d59fe0dc61e5ca620092/f_18.png,France,97,901,80,92,36,782
Vinícius Júnior,11.1,FWD,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250121533.jpg?v=4.07,23,2,2,2,Vini Jr.,74,Vini Jr.,Real Madrid,89,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p238794.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/7ji8sU96bLJDrvUG9LhZfs/79c637e0af422fec5e4d76c513fbd0dd/243.png,https://images.ctfassets.net/rs6bgs1g8dbr/3Rwp4RzPbtNP3FHh21UXAG/1d1cf1b849dfaeb232744c8c725d93b6/f_54.png,Brazil,95,823,784,90,29,681
A. Griezmann,10.7,FWD,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250019498.jpg?v=4.07,36,5,0,8,Antoine Griezmann,86,Antoine Griezmann,Atlético de Madrid,88,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p194765.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/452jAa9UhkaM3gXX81Roqk/ec88e48a2b43d5e7a3fef6a38c96c16f/240.png,https://images.ctfassets.net/rs6bgs1g8dbr/5Il39kdF0vuuJ1Gc18R7Ww/b982b6f565d2d59fe0dc61e5ca620092/f_18.png,France,80,886,874,883,586,753
K. De Bruyne,10.5,MID,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250008901.jpg?v=4.07,0,0,0,0,Kevin De Bruyne,86,Kevin De Bruyne,Manchester City,91,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p192985.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/hn2H64k3KVpJ3Wqpyleus/2d33f6e09f42515c20dd2a70600a3c26/10.png,https://images.ctfassets.net/rs6bgs1g8dbr/285bLwP3RuTmDmniPEqYn8/8fa66478d339a776a696563fcd3e2005/f_7.png,Belgium,722,88,941,87,651,781
R. Lewandowski,10.3,FWD,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250002096.jpg?v=4.07,13,1,0,1,Robert Lewandowski,87,Robert Lewandowski,FC Barcelona,90,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p188545.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/4OJIzFZkwqt9zviE8fTl6A/e20b4e9d5e3737b4cfcee2d7e9d03ce4/241.png,https://images.ctfassets.net/rs6bgs1g8dbr/KLzBJsJ0eQPZm4hVsZFgc/1a1b9891525684b366053c13c6c87487/f_37.png,Poland,75,91,801,871,44,841
H. Kane,10.1,FWD,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250016833.jpg?v=4.07,41,4,3,5,Harry Kane,76,Harry Kane,FC Bayern München,90,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p202126.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/1Uh6FbAG5LLX0OdAnHi84E/ed4e33b98ac5d03b2adad5a4e2efb777/21.png,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png,England,691,932,841,831,492,831
B. Saka,9.8,MID,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250106939.jpg?v=4.07,43,3,4,7,Bukayo Saka,86,Bukayo Saka,Arsenal,86,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p246669.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/RrovHfxo1AFm2Fsfl50kN/1b45151487917b5375e2698abbce260a/1.png,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png,England,851,817,791,874,605,705
V. Osimhen,9.8,FWD,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250132987.jpg?v=4.07,17,1,1,4,Victor Osimhen,84,Victor Osimhen,Napoli FC,88,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p232293.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/40PGLIPk7e71KQC6Sl1q7H/87a8e32ef6de16632b0bf74af3b3b833/116365.png,https://images.ctfassets.net/rs6bgs1g8dbr/295ony5xEfG2G4YAB0W9mW/3a27c0494c7df2afeb1fa42963186f7d/f_133.png,Nigeria,90,864,661,835,422,821
K. Kvaratskhelia,9.5,MID,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250101808.jpg?v=4.07,22,0,1,8,Khvicha Kvaratskhelia,88,Khvicha Kvaratskhelia,Napoli FC,86,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p247635.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/40PGLIPk7e71KQC6Sl1q7H/87a8e32ef6de16632b0bf74af3b3b833/116365.png,https://images.ctfassets.net/rs6bgs1g8dbr/3ihUb81UFfinWvIolyQwUe/6880637cda44d96f510b30dfd13225fe/f_20.png,Georgia,843,8014,8110,878,41,715
