playerName,Team,OverallRating,playerImg,TeamImg,FlagImg,Nation,Pace,Shooting,Passing,Dribbling,Defending,Physicality
Kylian Mbappé,Paris SG,91,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p231747.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/65jMMhRXpQl9A65F6kQtBe/c7b08b18574c48533c1526783bd9b601/73.png,https://images.ctfassets.net/rs6bgs1g8dbr/5Il39kdF0vuuJ1Gc18R7Ww/b982b6f565d2d59fe0dc61e5ca620092/f_18.png,France,97,901,80,92,36,782
Alexia Putellas,FC Barcelona,91,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p227203.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/5fXB2Aw8Wo3yHNmBwOdoKw/0b7e94d8a744acc701bdcd733783eb93/116325.png,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png,Spain,82,90,91,92,72,78
Erling Haaland,Manchester City,91,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p239085.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/hn2H64k3KVpJ3Wqpyleus/2d33f6e09f42515c20dd2a70600a3c26/10.png,https://images.ctfassets.net/rs6bgs1g8dbr/2oqGDALzThEx7wBBMbyIqE/759a715ed2bf7146304a0736ede94430/f_36.png,Norway,89,932,661,80,454,881
Kevin De Bruyne,Manchester City,91,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p192985.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/hn2H64k3KVpJ3Wqpyleus/2d33f6e09f42515c20dd2a70600a3c26/10.png,https://images.ctfassets.net/rs6bgs1g8dbr/285bLwP3RuTmDmniPEqYn8/8fa66478d339a776a696563fcd3e2005/f_7.png,Belgium,722,88,941,87,651,781
Aitana Bonmatí,FC Barcelona,90,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p241667.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/5fXB2Aw8Wo3yHNmBwOdoKw/0b7e94d8a744acc701bdcd733783eb93/116325.png,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png,Spain,81,84,83,91,75,73
Thibaut Courtois,Real Madrid,90,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p192119.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/7ji8sU96bLJDrvUG9LhZfs/79c637e0af422fec5e4d76c513fbd0dd/243.png,https://images.ctfassets.net/rs6bgs1g8dbr/285bLwP3RuTmDmniPEqYn8/8fa66478d339a776a696563fcd3e2005/f_7.png,Belgium,851,89,761,933,46,901
Harry Kane,FC Bayern München,90,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p202126.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/1Uh6FbAG5LLX0OdAnHi84E/ed4e33b98ac5d03b2adad5a4e2efb777/21.png,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png,England,691,932,841,831,492,831
Caroline Graham Hansen,FC Barcelona,90,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p227102.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/5fXB2Aw8Wo3yHNmBwOdoKw/0b7e94d8a744acc701bdcd733783eb93/116325.png,https://images.ctfassets.net/rs6bgs1g8dbr/2oqGDALzThEx7wBBMbyIqE/759a715ed2bf7146304a0736ede94430/f_36.png,Norway,89,86,88,90,47,75
Robert Lewandowski,FC Barcelona,90,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p188545.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/4OJIzFZkwqt9zviE8fTl6A/e20b4e9d5e3737b4cfcee2d7e9d03ce4/241.png,https://images.ctfassets.net/rs6bgs1g8dbr/KLzBJsJ0eQPZm4hVsZFgc/1a1b9891525684b366053c13c6c87487/f_37.png,Poland,75,91,801,871,44,841
Mapi León,FC Barcelona,89,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p236479.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/5fXB2Aw8Wo3yHNmBwOdoKw/0b7e94d8a744acc701bdcd733783eb93/116325.png,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png,Spain,75,74,81,76,90,81
Rúben Dias,Manchester City,89,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p239818.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/hn2H64k3KVpJ3Wqpyleus/2d33f6e09f42515c20dd2a70600a3c26/10.png,https://images.ctfassets.net/rs6bgs1g8dbr/2lrwEhKVgf1yqaNPErE17U/827ef25bd1820ad5c65b278a021e9d86/f_38.png,Portugal,621,39,66,691,891,871
Vini Jr.,Real Madrid,89,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p238794.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/7ji8sU96bLJDrvUG9LhZfs/79c637e0af422fec5e4d76c513fbd0dd/243.png,https://images.ctfassets.net/rs6bgs1g8dbr/3Rwp4RzPbtNP3FHh21UXAG/1d1cf1b849dfaeb232744c8c725d93b6/f_54.png,Brazil,95,823,784,90,29,681
Rodri,Manchester City,89,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p231866.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/hn2H64k3KVpJ3Wqpyleus/2d33f6e09f42515c20dd2a70600a3c26/10.png,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png,Spain,58,731,802,801,852,84
Marc-André ter Stegen,FC Barcelona,89,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p192448.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/4OJIzFZkwqt9zviE8fTl6A/e20b4e9d5e3737b4cfcee2d7e9d03ce4/241.png,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png,Germany,86,85,892,911,47,861
Irene Paredes,FC Barcelona,88,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p227190.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/5fXB2Aw8Wo3yHNmBwOdoKw/0b7e94d8a744acc701bdcd733783eb93/116325.png,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png,Spain,69,51,67,68,89,80
