playerName,playerPrice,playerPos,playerClub,playerImg,TotalPoints,Goals,Assists,BallsRecov
K. Mbappé,11,FWD,FRA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250076574.jpg?v=0.06,0,0,0,0
H. Kane,11,FWD,ENG,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250016833.jpg?v=0.06,0,0,0,0
C. Ronaldo,10,FWD,POR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/63706.jpg?v=0.06,0,0,0,0
J. Bellingham,9.5,MID,ENG,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
K. De Bruyne,9.5,MID,BEL,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
R. Lewandowski,9.5,FWD,POL,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250002096.jpg?v=0.06,0,0,0,0
P. Foden,9,MID,ENG,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
B. Fernandes,9,MID,POR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250078886.jpg?v=0.06,0,0,0,0
R. Lukaku,9,FWD,BEL,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250010802.jpg?v=0.06,0,0,0,0
A. Griezmann,9,FWD,FRA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250019498.jpg?v=0.06,0,0,0,0
J. Musiala,8.5,MID,GER,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250124430.jpg?v=0.06,0,0,0,0
B. Saka,8.5,MID,ENG,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250106939.jpg?v=0.06,0,0,0,0
R. Leão,8.5,FWD,POR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250089228.jpg?v=0.06,0,0,0,0
B. Silva,8.5,MID,POR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250059115.jpg?v=0.06,0,0,0,0
J. Félix,8.5,FWD,POR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250101463.jpg?v=0.06,0,0,0,0
Á. Morata,8.5,FWD,ESP,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250024456.jpg?v=0.06,0,0,0,0
D. Jota,8.5,FWD,POR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250080471.jpg?v=0.06,0,0,0,0
L. Trossard,8,MID,BEL,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250023009.jpg?v=0.06,0,0,0,0
O. Dembélé,8,FWD,FRA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250066886.jpg?v=0.06,0,0,0,0
O. Giroud,8,FWD,FRA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250020851.jpg?v=0.06,0,0,0,0
R. Kolo Muani,8,FWD,FRA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250146926.jpg?v=0.06,0,0,0,0
F. Wirtz,7.5,MID,GER,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
K. Havertz,7.5,FWD,GER,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250087938.jpg?v=0.06,0,0,0,0
L. Modrić,7.5,MID,CRO,https://img.uefa.com/imgml/TP/players/3/2024/324x324/74699.jpg?v=0.06,0,0,0,0
F. Chiesa,7.5,FWD,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250090398.jpg?v=0.06,0,0,0,0
C. Palmer,7.5,MID,ENG,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
A. Dovbyk,7.5,FWD,UKR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250100997.jpg?v=0.06,0,0,0,0
D. Olmo,7.5,MID,ESP,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250081720.jpg?v=0.06,0,0,0,0
R. Højlund,7.5,FWD,DEN,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250130221.jpg?v=0.06,0,0,0,0
C. Gakpo,7.5,FWD,NED,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250096849.jpg?v=0.06,0,0,0,0
K. Coman,7.5,MID,FRA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250054949.jpg?v=0.06,0,0,0,0
C. Immobile,7.5,FWD,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250005254.jpg?v=0.06,0,0,0,0
L. Pellegrini,7.5,MID,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250070130.jpg?v=0.06,0,0,0,0
J. Grealish,7.5,MID,ENG,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
M. Depay,7.5,FWD,NED,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250024860.jpg?v=0.06,0,0,0,0
J. Maddison,7.5,MID,ENG,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
M. Oyarzabal,7.5,MID,ESP,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250097180.jpg?v=0.06,0,0,0,0
G. Raspadori,7.5,FWD,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250105617.jpg?v=0.06,0,0,0,0
A. Kramarić,7.5,FWD,CRO,https://img.uefa.com/imgml/TP/players/3/2024/324x324/1906416.jpg?v=0.06,0,0,0,0
O. Watkins,7.5,FWD,ENG,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
F. Torres,7.5,FWD,ESP,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250088320.jpg?v=0.06,0,0,0,0
D. Vlahović,7.5,FWD,SRB,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250099180.jpg?v=0.06,0,0,0,0
A. Budimir,7.5,FWD,CRO,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250053837.jpg?v=0.06,0,0,0,0
X. Simons,7,MID,NED,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250128451.jpg?v=0.06,0,0,0,0
D. Szoboszlai,7,MID,HUN,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250104066.jpg?v=0.06,0,0,0,0
L. Sane,7,MID,GER,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250063984.jpg?v=0.06,0,0,0,0
N. Barella,7,MID,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250066739.jpg?v=0.06,0,0,0,0
I. Gundogan,7,MID,GER,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250005335.jpg?v=0.06,0,0,0,0
J. Doku,7,FWD,BEL,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
K. Kvaratskhelia,7,MID,GEO,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250101808.jpg?v=0.06,0,0,0,0
C. Eriksen,7,MID,DEN,https://img.uefa.com/imgml/TP/players/3/2024/324x324/1905884.jpg?v=0.06,0,0,0,0
P. Schick,7,FWD,CZE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250055110.jpg?v=0.06,0,0,0,0
N. Williams,7,MID,ESP,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250163185.jpg?v=0.06,0,0,0,0
M. Mudryk,7,MID,UKR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250113435.jpg?v=0.06,0,0,0,0
M. Pašalić,7,MID,CRO,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250042631.jpg?v=0.06,0,0,0,0
Joselu,7,FWD,ESP,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250005193.jpg?v=0.06,0,0,0,0
A. Mitrović,7,FWD,SRB,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250042869.jpg?v=0.06,0,0,0,0
P. Neto,7,MID,POR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250106986.jpg?v=0.06,0,0,0,0
G. Ramos,7,FWD,POR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250116654.jpg?v=0.06,0,0,0,0
G. Scamacca,7,FWD,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250076743.jpg?v=0.06,0,0,0,0
N. Fullkrug,7,FWD,GER,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250041844.jpg?v=0.06,0,0,0,0
M. Daramy,7,MID,DEN,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250120799.jpg?v=0.06,0,0,0,0
M. Rashford,7,FWD,ENG,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250088246.jpg?v=0.06,0,0,0,0
