playerName,playerPrice,playerPos,playerClub,playerImg
K. Mbappé,11.5,FWD,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250076574.jpg?v=4.02
E. Haaland,11.5,FWD,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250103758.jpg?v=4.02
Vinícius Júnior,11,FWD,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250121533.jpg?v=4.02
R. Lewandowski,10.5,FWD,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250002096.jpg?v=4.02
A. Griezmann,10.5,FWD,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250019498.jpg?v=4.02
K. De Bruyne,10.5,MID,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250008901.jpg?v=4.02
H. Kane,10,FWD,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250016833.jpg?v=4.02
V. Osimhen,10,FWD,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250132987.jpg?v=4.02
M. Rashford,10,FWD,MUN,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250088246.jpg?v=4.02
B. Saka,9.5,MID,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250106939.jpg?v=4.02
Bruno Fernandes,9.5,MID,MUN,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250078886.jpg?v=4.02
Rafael Leão,9.5,FWD,MIL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250089228.jpg?v=4.02
K. Kvaratskhelia,9.5,MID,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250101808.jpg?v=4.02
M. Ødegaard,9,MID,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250081341.jpg?v=4.02
L. Sané,9,MID,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250063984.jpg?v=4.02
S. Gnabry,9,MID,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250041770.jpg?v=4.02
L. Martínez,9,FWD,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250118281.jpg?v=4.02
M. Icardi,9,FWD,GAL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250074434.jpg?v=4.02
Rodrygo,9,FWD,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250132829.jpg?v=4.02
