playerName,playerPrice,playerPos,playerClub,playerImg,TotalPoints,Goals,Assists,BallsRecov
E. Haaland,11.7,FWD,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250103758.jpg?v=4.07,37,5,1,0
K. Mbappé,11.5,FWD,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250076574.jpg?v=4.07,24,3,0,4
Vinícius Júnior,11.1,FWD,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250121533.jpg?v=4.07,23,2,2,2
A. Griezmann,10.7,FWD,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250019498.jpg?v=4.07,36,5,0,8
K. De Bruyne,10.5,MID,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250008901.jpg?v=4.07,0,0,0,0
R. Lewandowski,10.3,FWD,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250002096.jpg?v=4.07,13,1,0,1
H. Kane,10.1,FWD,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250016833.jpg?v=4.07,41,4,3,5
B. Saka,9.8,MID,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250106939.jpg?v=4.07,43,3,4,7
V. Osimhen,9.8,FWD,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250132987.jpg?v=4.07,17,1,1,4
K. Kvaratskhelia,9.5,MID,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250101808.jpg?v=4.07,22,0,1,8
Rodrygo,9.2,FWD,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250132829.jpg?v=4.07,33,3,2,0
M. Ødegaard,9.1,MID,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250081341.jpg?v=4.07,29,2,1,12
L. Sané,9.1,MID,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250063984.jpg?v=4.07,25,1,1,9
L. Martínez,9,FWD,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250118281.jpg?v=4.07,21,2,0,1
R. Kolo Muani,9,FWD,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250146926.jpg?v=4.07,14,1,0,6
T. Müller,8.9,FWD,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250003318.jpg?v=4.07,9,0,1,2
S. Gnabry,8.8,MID,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250041770.jpg?v=4.07,9,1,0,2
Gonçalo Ramos,8.8,FWD,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250116654.jpg?v=4.07,5,0,0,1
G. Jesus,8.6,FWD,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250106649.jpg?v=4.07,37,4,2,7
G. Martinelli,8.5,FWD,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250134304.jpg?v=4.07,22,2,2,7
L. De Jong,8.5,FWD,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250005343.jpg?v=4.07,20,2,0,6
J. Musiala,8.4,MID,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250124430.jpg?v=4.07,23,2,1,11
Raphinha,8.4,FWD,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250112880.jpg?v=4.07,12,0,2,5
